INCHIKEY,SMILES
DOUMFZQKYFQNTF-WUTVXBCWSA-N,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O
QGJZLNKBHJESQX-FZFNOLFKSA-N,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O
WCGUUGGRBIKTOS-GPOJBZKASA-N,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O
UZKQTCBAMSWPJD-FARCUNLSSA-N,CC(=CCNC1=NC=NC2=C1NC=N2)CO
FPQFYIAXQDXNOR-XVNBXDOJSA-N,CC1CCCC(CCCC=CC2=C(C(=CC(=C2)O)O)C(=O)O1)O
PBQMALAAFQMDSP-UHFFFAOYSA-N,COC1=C(C(=CC=C1)OC)C2=CC(=O)C3=C(O2)C=CC(=C3OC)OC
QOTBQNVNUBKJMS-UHFFFAOYSA-N,CC1(C=CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)C
FBZONXHGGPHHIY-UHFFFAOYSA-N,C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O
FBUBVLUPUDBFME-UHFFFAOYSA-N,CC(=O)C1=C(C=C(C=C1OC)OC)O
NMGVHLDIHNFGQB-OTCPXFHUSA-N,CC1C(C(C(C(O1)OC2C(C(OC(C2O)OCC3C(C(C(C(O3)OC4=C(OC5=CC(=CC(=C5C4=O)O)OC)C6=CC(=C(C=C6)O)O)O)O)O)C)O)O)O)O
XLTFNNCXVBYBSX-UHFFFAOYSA-N,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O
OMZRMXULWNMRAE-BMRADRMJSA-N,COC(=O)C(=C1C(=C(C(=O)O1)C2=CC=CC=C2)O)C3=CC=CC=C3
NGPDZEACIWDCKX-WUDKWMPASA-N,CC1C2CCC3(C(C2OC1=O)C(C=CC3=O)(C)O)C
SXPZFHCIUAADLD-UHFFFAOYSA-N,CC1=CC(=C(C(=C1)O)OC2=CC(=CC(=C2O)O)C)O
JXLYSJRDGCGARV-CFWMRBGOSA-N,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
JCJPVNDLAAXNEX-UHFFFAOYSA-N,CC(=C)C1CC2=C(O1)C=C(C3=C2OC4COC5=CC(=C(C=C5C4(C3=O)O)OC)OC)O
DBUOUVZMYWYRRI-YWEKDMGLSA-N,C1=COC(C2C1C(C3C2(O3)CO)OC(=O)C4=CC(=C(C=C4)O)O)OC5C(C(C(C(O5)CO)O)O)O
SDIVYZXRQHWCKF-UHFFFAOYSA-N,C1CN2C(=NC3=CC=CC=C3C2=O)C1O
HPSILLNWMJOWNM-UJMOMDHXSA-N,CCC(C)C(=O)OC1CC2(C(OC(=O)CC23C45C1(C6(C(C7(CC6(C(C7OC(=O)C8(C(O8)C)C)(C4OC(=O)C)O)O)C)CC(=O)OC)C)OC(O3)(O5)C)C9=COC=C9)C
GWOCLAPCXDOJRL-FPLPWBNLSA-N,CCCCCCC=CCCCCCCCC1=C(C(=CC=C1)O)O
BYYDEEAJCDGLER-YMILTQATSA-N,CC1=CC(=O)C2=C(C=C(C=C2O1)OC3C(C(C(C(O3)CO)O)O)O)O
ORHBXUUXSCNDEV-UHFFFAOYSA-N,C1=CC(=CC2=C1C=CC(=O)O2)O
QIVBCDIJIAJPQS-VIFPVBQESA-N,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
KPXIBWGPZSPABK-FXAWDEMLSA-N,CC(C)C1=C(C2=C(C=C1)C3(CCC4=C(C3CC2)COC4=O)C)O
ARSRJFRKVXALTF-UHFFFAOYSA-N,C1=C(C=C(C(=C1O)O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
PDAYUJSOJIMKIS-SNAWJCMRSA-N,CC(=O)OC1=CC=C(C=C1)C=CC2=CC(=CC(=C2)OC(=O)C)OC(=O)C
HDTRYLNUVZCQOY-LIZSDCNHSA-N,C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O
VEJJMTHWRMKGKN-SJRAPUSDSA-N,CC(C)C1=C(C=CC2=C1CCC3C2(CCCC3(C)C(=O)OC)C)O
DVGGLGXQSFURLP-VWMSDXGPSA-N,C1=CC(=CC=C1C=CC(=O)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O
GKQGIQVSMCHAFX-IBEHDNSVSA-N,CC1=CC(=C(C=C1)C(C)C)OC2C(C(C(C(O2)CO)O)O)O
UULGWGARYDGVBM-UHFFFAOYSA-N,CC1=CC(=C(C(=C1C(=O)OC2=C(C(=C(C(=C2C)C)C(=O)OC3=C(C(=C(C(=C3C)C)C(=O)O)OC)C)OC)C)O)C)O
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,CN1C2=C(C(=O)N(C1=O)C)NC=N2
KXFFLWDYUNIJNU-BFUOFWGJSA-N,COC1=CC2=C(C=C1)C(C(CO2)CC3=CC(=C(C=C3)OC)OC)O
CXFIQFGADOTDPF-XKZIYDEJSA-N,CC(=CCCC1(C=CC2=C(C3=C(C(=C2O1)CC=C(C)C)OC45C(C3=O)CC6CC4C(OC5(C6O)CC=C(C)C(=O)O)(C)C)O)C)C
AQBZCCQCDWNNJQ-AUSIDOKSSA-N,CC1(C=CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4(C3=O)O)OC)OC)C
CEIZFXOZIQNICU-UHFFFAOYSA-N,CCC(C)C1C(=C(C(=O)N1)C(=O)C)O
OBBCRPUNCUPUOS-UHFFFAOYSA-N,COC1=C(C2=C(C=C1O)OC=C(C2=O)C3=CC=C(C=C3)O)O
CXQWRCVTCMQVQX-UHFFFAOYSA-N,C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
HYXITZLLTYIPOF-UHFFFAOYSA-N,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C
ULSUXBXHSYSGDT-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC
WOXKDUGGOYFFRN-IIBYNOLFSA-N,CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36
QJJXYPPXXYFBGM-LJIGMGMYSA-N,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC
QJVXKWHHAMZTBY-GCPOEHJPSA-N,COC1=CC(=CC(=C1OC2C(C(C(C(O2)CO)O)O)O)OC)C=CCO
KOWMJRJXZMEZLD-VGBAVMOLSA-N,COC1=CC(=CC(=C1O)OC)C2C3COC(C3CO2)C4=CC(=C(C(=C4)OC)O)OC
QLJNETOQFQXTLI-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C2C3COC(C3CO2)C4=CC(=C(C=C4)OC5C(C(C(C(O5)CO)O)O)O)OC)O
HEYZWPRKKUGDCR-QBXMEVCASA-N,C=CC1C(OC=C2C1(CCOC2=O)O)OC3C(C(C(C(O3)CO)O)O)O
VSJGJMKGNMDJCI-ZASXJUAOSA-N,C=CC1C2CCOC(=O)C2=COC1OC3C(C(C(C(O3)CO)O)O)O
YJRLSCDUYLRBIZ-UHFFFAOYSA-N,CC1=CC(=C(C(=C1)O)C(=O)C2=C(C=C(C=C2OC)O)C(=O)OC)O
RSZDAYHEZSRVHS-UHFFFAOYSA-N,CC(=CCC1=C(C=C2C(=C1)C=CC(=O)O2)OC)C
ODJLBQGVINUMMR-HZXDTFASSA-N,CC12CCC3C(C1(CCC2C4=CC(=O)OC4)O)CCC5(C3(CCC(C5)O)C=O)O
MKGZDUKUQPPHFM-LPJPOILFSA-N,CCC(C=CC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(C)C
DSAJORLEPQBKDA-UHFFFAOYSA-N,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC(=C(C=C3)O)O)O
DLCJNIBLOSKIQW-UHFFFAOYSA-N,COC1=C2C(=C3C(=C1)C=CC(=O)O3)C=CO2
PFNFFQXMRSDOHW-UHFFFAOYSA-N,C(CCNCCCN)CNCCCN
GMQFOKBGMKVUQZ-UHFFFAOYSA-N,COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O
VPAOSFFTKWUGAD-TVKJYDDYSA-N,C1=CC(=CC2=C1C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O
SLSIBLKBHNKZTB-UHFFFAOYSA-N,COC1=C(C2=C(C=C1)C(=C3C=COC3=N2)OC)OC
QFJCIRLUMZQUOT-HPLJOQBZSA-N,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC
PCMORTLOPMLEFB-UHFFFAOYSA-N,COC1=CC(=CC(=C1O)OC)C=CC(=O)O
SEBFKMXJBCUCAI-HKTJVKLFSA-N,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O
KKSYAZCUYVRKML-IRDZEPHTSA-N,CC1(CC(C2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)O)O
SWZMSZQQJRKFBP-WZRBSPASSA-N,C1CCN2C(C1)C34CC2C=CC3=CC(=O)O4
MVTLXFDHKDVAIC-LQQBYVAQSA-N,C1=COC(C2C1C(C3C2(O3)COC(=O)C=CC4=CC=C(C=C4)O)O)OC5C(C(C(C(O5)CO)O)O)O
XVMMEYCPXZYLAI-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O
XTDOKCBBQODVJW-LTDPXCIYSA-N,CC1C(C(C(C(O1)OC2C3C=COC(C3C4(C2O4)CO)OC5C(C(C(C(O5)CO)O)O)O)OC(=O)C)OC(=O)C=CC6=CC=CC=C6)OC(=O)C
RODXRVNMMDRFIK-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)C=CC(=O)O2)O
YEFOAORQXAOVJQ-RZFZLAGVSA-N,CC1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3CC1(C)O)OC)OC)OC)OC)OC)OC
VCNDHJFYRZQMHX-KPKJPENVSA-N,COC1=CC2=C(C=C1)C(=O)C(=CC3=CC(=C(C=C3)OC)O)CO2
XJHDMGJURBVLLE-BOCCBSBMSA-N,CC1C2CCC3(C=CC(=O)C(=C3C2OC1=O)C)C
DWZAJFZEYZIHPO-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=C(C(=O)C3=C(O2)C=C(C(=C3O)OC)O)OC
FNVCLGWRMXTDSM-WOJBJXKFSA-N,CC(=CC(=O)OC1C(C2=C(C=CC3=C2OC(=O)C=C3)OC1(C)C)OC(=O)C)C
DSMWJDJWYGMEBO-PRFRQLEPSA-N,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)OC3C(C(C(C(O3)CO)O)O)O)O)O
YTPRLBGPGZHUPD-UHFFFAOYSA-N,CC1C2=CC(=C(C=C2CCN1)O)OC
YPZYGIQXBGHDBH-WKWCOTLASA-M,CCC(C1CCC(C(O1)C(C)C(C(C)C(=O)C(CC)C2C(CC(C3(O2)C=CC(C4(O3)CCC(O4)(C)C5CCC(C(O5)C)(CC)O)O)C)C)O)C)C(=O)[O-].[Na+]
KQXDHUJYNAXLNZ-XQSDOZFQSA-N,CCC(C1CCC(C(O1)C(C)C(C(C)C(=O)C(CC)C2C(CC(C3(O2)C=CC(C4(O3)CCC(O4)(C)C5CCC(C(O5)C)(CC)O)O)C)C)O)C)C(=O)O
DJOJDHGQRNZXQQ-UHFFFAOYSA-N,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=C(C=C3)O)O
JWWFVRMFYKPZNE-VVIWCBLHSA-N,CC(C)(C1CC2=C(O1)C(=C3C(=C2)C=CC(=O)O3)OC4C(C(C(C(O4)CO)O)O)O)O
ZTLZGWDERZVHNS-UHFFFAOYSA-N,CC(CC(=O)O)(CC(=O)OCC1C(C(C(C(O1)OC2=C(C=C3C=C(C(=O)OC3=C2)OC4=CC5=C(C=C4)C=CC(=O)O5)OC)O)O)O)O
AWMHMGFGCLBSAY-UHFFFAOYSA-N,CC(=O)OC(C)(C)C1CC2=C(O1)C=C3C(=C2)C=C(C(=O)O3)C(C)(C)C=C
IRZTUXPRIUZXMP-UHFFFAOYSA-N,CC1=C(C=C2C(=C1O)C(=O)C3=CC=CC=C3C2=O)O
QADCCYSYLNTZHV-YADHBBJMSA-N,CC(=CCC1=C(C=CC2=C1OC3COC4=CC(=C(C=C4C3C2=O)OC)OC)OC)C
JUVIOZPCNVVQFO-HBGVWJBISA-N,CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC
CADNMISJDLVPCK-LSDHHAIUSA-N,CCCCCCCCCCCCC(C(C)C(=O)O)C(=O)O
MBZKDBQDALOSRP-UHFFFAOYSA-N,CC1(C=CC2=C(O1)C=C3C(=C2OC)C(=C(C(=O)O3)C4=CC=C(C=C4)OC)O)C
RPMNUQRUHXIGHK-PYXJVEIZSA-N,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O
ILRCGYURZSFMEG-RKQHYHRCSA-N,C1=CC(=CC=C1CCOC2C(C(C(C(O2)CO)O)O)O)O
FCDLCPWAQCPTKC-UHFFFAOYSA-N,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)C(=O)O
RRCYPDDIDYVEIW-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3O)OC
LREZRXWUEZCZRU-UHFFFAOYSA-N,CC1=CC2=CC(=C(C(=C2C(=O)O1)O)OC)O
PMATZTZNYRCHOR-KMSBSJHKSA-N,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
QEVHRUUCFGRFIF-MDEJGZGSSA-N,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
JJOLHRYZQSDLSA-UHFFFAOYSA-N,CC1(CC2=CC(=C3C(=C2C(=O)C1)C(=O)C4=C(C3=O)C(=CC=C4)O)O)O
GJAWHXHKYYXBSV-UHFFFAOYSA-N,C1=CC(=C(N=C1)C(=O)O)C(=O)O
LOUPRKONTZGTKE-LHHVKLHASA-N,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O
OXGUCUVFOIWWQJ-HQBVPOQASA-N,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O
NBQPHANHNTWDML-UJKBSQBPSA-N,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)COC(=O)CC(=O)O)O)O)O)O)O
DUBCCGAQYVUYEU-ZUGPOPFOSA-N,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O
REFJWTPEDVJJIY-UHFFFAOYSA-N,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
LXNHXLLTXMVWPM-UHFFFAOYSA-N,CC1=NC=C(C(=C1O)CO)CO
RBQNDQOKFICJGL-UTBFYLPBSA-N,CC1CCC(C=CC(=O)OC(CCC(C=CC(=O)O1)O)C)O
PJSKCCANFAFYHW-UHFFFAOYSA-N,C1=C2C=C(C(=C(C2=C(C(=O)C=C1C(=O)O)O)O)O)O
NUYFKDBCHFKOBT-UHFFFAOYSA-N,CC1=CC2=C(C(=C1)O)OC3=C(C(=C(C=C3)C(CC(C)C)OC(=O)C)OC)C(=O)OC2
IUIHYYSAVUBPQO-UHFFFAOYSA-N,CC1=CCC2=C(C=C3C(=C2O)C(=O)C=C(O3)C)OC1
NOHXYGXFTACADH-JHLBFKOCSA-N,CC1CC(C2(C13CC(=O)C(C2(COC(=O)C3)C)(C)O)O)O
DLIKSSGEMUFQOK-SFTVRKLSSA-N,C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O
ZCFFYALKHPIRKJ-UHFFFAOYSA-N,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C
RBQOQRRFDPXAGN-UHFFFAOYSA-N,CCCN1C=NC2=C1C(=O)N(C(=O)N2C)CCCCC(=O)C
RJKFOVLPORLFTN-LEKSSAKUSA-N,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
